"theme","provider","category","sub_theme","codes","refs"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","The structure of PNP","AI_18_074"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Pointing out what is being done well","AI_23_151, AI_23_164"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Good balance as feedback","AI_07_063, AI_08_072, AI_08_073, AI_08_074, AI_08_077, AI_09_086"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Compliance with criteria as feedback","AI_07_060, AI_07_061, AI_07_063"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","strict adherence to feedback criteria","AI_09_087, AI_09_088, AI_09_095, AI_09_096, AI_11_121, AI_11_122, AI_11_126, AI_11_128, AI_11_130, AI_11_131, AI_11_132, AI_12_135, AI_12_136"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","assistance with putting experiences into words","AI_13_150"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Presentation of specific examples","AI_04_009, AI_19_091, AI_21_131, AI_21_132"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Advice with specific examples","AI_19_085, AI_19_087"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Advice with specific examples","AI_20_115"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","suggestions for improvements with specific examples","AI_21_120"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Detailed advice with specific examples","AI_23_153"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Specific feedback","AI_04_009"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","specific, easy-to-understand advice","AI_10_103, AI_10_104"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Specific feedback","AI_06_037"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Concrete advice","AI_05_031, AI_08_070, AI_08_072, AI_08_078, AI_08_080, AI_08_082, AI_09_086, AI_09_095, AI_09_096, AI_09_100, AI_11_119, AI_12_141, AI_12_144, AI_15_020, AI_15_021, AI_15_022, AI_16_043, AI_16_051"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Specific points for improvement","AI_04_001, AI_04_003, AI_04_005, AI_05_019, AI_16_045, AI_19_092"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Specific points for improvement","AI_12_133, AI_12_134, AI_14_002, AI_14_003, AI_14_004, AI_14_005, AI_14_006, AI_14_009, AI_14_011, AI_14_015, AI_14_017, AI_15_018"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Presentation of specific points for improvement","AI_15_033, AI_15_034, AI_16_036, AI_16_037, AI_16_038, AI_16_040, AI_16_041"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","clear examples","AI_16_036"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Sufficient amount of positive feedback","AI_04_003"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","suggestions for improvements that are easy to accept","AI_21_117"
"Continuity and consistency","AI","positive","Feedback based on a comprehensive review of the recorded content","language that is not in line with the practice record","AI_15_025"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Concrete advice that is easy to put into practice","AI_17_055"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Advice that is easy to put into practice","AI_23_152"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","example of improvement","AI_16_044"
"Adherence to the feedback criteria and structure","AI","positive","Well-structured feedback that adheres to principles","Suggesting specific goals using numerical values","AI_23_149"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Advice for making the goal more specific","AI_06_043, AI_06_044, AI_06_045, AI_06_046, AI_07_054"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","assistance in encouraging self-reflection based on experience","AI_13_155"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Support for making experiences concrete","AI_18_070"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","assistance in concretizing experience","AI_13_155, AI_13_160"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","assistance in deepening experience","AI_13_158"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","assistance in verbalizing experience","AI_13_158"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Assistance with making the experience record more concrete","AI_23_157"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Precise advice regarding the description","AI_10_105"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Concise points regarding the description","AI_14_008"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Sufficient feedback regarding the content of the description","AI_10_110, AI_10_112"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Feedback for making descriptions more concrete","AI_05_025"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","advice for making the description more specific","AI_06_046"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Specific advice to improve the description","AI_06_041"
"Continuity and consistency","AI","positive","Feedback based on a comprehensive review of the recorded content","Comment based on reading the description","AI_05_034"
"Continuity and consistency","AI","positive","Feedback based on a comprehensive review of the recorded content","Advice that is in line with the record","AI_15_028, AI_15_030, AI_15_031, AI_15_032"
"Continuity and consistency","AI","positive","Feedback based on a comprehensive review of the recorded content","advice based on records","AI_21_117"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","concrete advice on the record","AI_16_035"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Detailed advice on the record","AI_16_039, AI_16_048"
"Continuity and consistency","AI","positive","Support for verbalizing experiences","Detailed advice on how to record","AI_20_101"
"Quality of the Japanese language","supervisor","positive","Descriptions that evoke the feeling of being reviewed by a human","feeling of being looked after","SU_20_109"
"Continuity and consistency","supervisor","positive","Feedback that takes into account the practicum context","feedback based on shared experiences","SU_04_008"
"Perspective as a clinician","supervisor","positive","Expert perspective","Advice from the perspective of a medical expert","SU_14_004"
"Perspective as a clinician","supervisor","positive","Expert perspective","Pointing out medical errors","SU_06_037"
"Perspective as a clinician","supervisor","positive","Expert perspective","Addressing important medical issues","SU_09_091"
"Perspective as a clinician","supervisor","positive","Expert perspective","Suggestions for medical matters","SU_16_037, SU_16_051"
"Perspective as a clinician","supervisor","positive","Expert perspective","Lack of advice on medical knowledge","SU_14_016, SU_19_088"
"Perspective as a clinician","supervisor","positive","Expert perspective","Medical knowledge advice","SU_17_058"
"Perspective as a clinician","supervisor","positive","Expert perspective","Presentation of medical knowledge","SU_19_097"
"Perspective as a clinician","supervisor","positive","Expert perspective","Supplementary medical knowledge","SU_18_076"
"Perspective as a clinician","supervisor","positive","Expert perspective","Lack of advice based on experience as a medical professional","SU_15_018"
"Continuity and consistency","supervisor","positive","Feedback that takes into account the practicum context","advice that is easy to put into practice","SU_08_080"
"Continuity and consistency","supervisor","positive","Feedback that takes into account the practicum context","Advice based on the situation in the clinical setting","SU_17_062"
"Continuity and consistency","supervisor","positive","Feedback that takes into account the practicum context","Findings based on clinical practice experience","SU_23_157"
"Perspective as a clinician","supervisor","positive","Expert perspective","comments from a clinician","SU_13_152"
"Perspective as a clinician","supervisor","positive","Expert perspective","Advice from the perspective of a clinician","SU_21_125"
"Continuity and consistency","supervisor","positive","Feedback that takes into account the practicum context","Descriptions based on clinical situations","SU_18_075, SU_18_080"
"Perspective as a clinician","supervisor","positive","Expert perspective","Opinion from a clinical perspective","SU_11_132"
"Perspective as a clinician","supervisor","positive","Expert perspective","Advice from a clinical perspective","SU_23_150, SU_23_152"
"Perspective as a clinician","supervisor","positive","Expert perspective"," lack of presentation of clinical significance","SU_16_039"
"Quality of the Japanese language","supervisor","positive","Natural expressions","Natural expressions","SU_18_079"
"Perspective as a clinician","supervisor","positive","Expert perspective","Deepening the description medically","SU_07_061"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Inclusion of escape sequences","AI_18_083"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Inclusion of markdown formatting","AI_08_083"
"Quality of the Japanese language","AI","negative","Insufficient output quality","advice that does not take into account common sense","AI_15_029"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Inconsistent points","AI_14_012"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Decrease in accuracy from insufficient contextualization","AI_10_104"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Vague advice","AI_22_134"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Inaccurate advice","AI_19_091, AI_19_097, AI_23_152"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Inaccurate interpretation","AI_13_152, AI_13_153, AI_13_155, AI_13_157"
"Quality of the Japanese language","AI","negative","Insufficient output quality","unnatural tone","AI_13_149, AI_13_154, AI_13_156, AI_13_157, AI_13_159, AI_13_162, AI_13_164, AI_16_042, AI_16_043, AI_16_045, AI_16_046, AI_16_049, AI_17_068"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Unnatural Japanese","AI_05_032, AI_09_094, AI_10_102, AI_14_011, AI_14_015, AI_18_076, AI_18_080, AI_19_088, AI_23_149"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Inappropriate language","AI_10_108"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Mix of descriptions that differ from the facts","AI_05_033, AI_06_036, AI_07_053, AI_07_054"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Misplaced priorities","AI_07_064"
"Adherence to the feedback criteria and structure","AI","negative","Mismatch with student preferences","unfavorable reaction to specific examples","AI_20_115"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Unclear standards regarding specificity","AI_07_055"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of concreteness","AI_22_136"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of specificity","AI_04_008"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of specificity","AI_06_040"
"Text length","AI","negative","Overly verbose expressions","Redundant expressions","AI_23_155"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Lack of advice on medical matters","AI_06_049, AI_06_051"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Lack of reference to medical content","AI_21_117"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Advice avoiding medical content","AI_10_107"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Ignoring medical goals","AI_12_139"
"Perspective as a clinician","AI","negative","Lack of expert perspective","lack of medical perspective","AI_21_118, AI_21_119, AI_21_121, AI_21_122, AI_21_123, AI_21_124"
"Perspective as a clinician","AI","negative","Lack of expert perspective","lack of a medical perspective","AI_21_127, AI_21_128, AI_21_129, AI_21_130"
"Perspective as a clinician","AI","negative","Lack of expert perspective","lack of medical perspective","AI_16_037, AI_16_039, AI_16_040, AI_16_041, AI_16_048, AI_17_063"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Failure to spot medical errors","AI_11_120, AI_11_121"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Inadequate understanding of medical content","AI_10_113"
"Perspective as a clinician","AI","negative","Lack of expert perspective","lack of medical expertise","AI_15_021"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Advice that is not based on medical knowledge","AI_22_143"
"Perspective as a clinician","AI","negative","Lack of expert perspective","lack of medical knowledge","AI_15_024"
"Perspective as a clinician","AI","negative","Lack of expert perspective","advice that does not take into account medical knowledge","AI_18_071, AI_19_100"
"Perspective as a clinician","AI","negative","Lack of expert perspective","Lack of a doctor's perspective","AI_06_050"
"Perspective as a clinician","AI","negative","Lack of expert perspective","lack of points related to medical care","AI_16_036"
"Continuity and consistency","AI","negative","Variability in feedback quality depending on the content recorded","Advice that is not sufficiently tailored to the content of the description","AI_11_125"
"Adherence to the feedback criteria and structure","AI","negative","Mismatch with student preferences","Sentences that are too formulaic","AI_18_078"
"Text length","AI","negative","Overly verbose expressions","too many points raised","AI_16_047"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of reference to actions during the practical training","AI_14_008"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of reference to behavior in practical training","AI_20_114"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","missing reference to behavior in the practical training","AI_19_089"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of understanding of the situation regarding the practical training","AI_14_005"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Advice that does not take into account the situation of the practice","AI_15_026"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","omission of reference to attitude and behavior during practical training","AI_09_092, AI_09_097"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of perspective on attitude during the practical training","AI_11_122, AI_11_124"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of perspective on changes in attitude during the practical training","AI_11_118"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of pointing out of attitude during practice","AI_16_035"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of perspective on content during the practical training","AI_11_124"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of feedback considering the outcome of the entire training program","AI_10_109, AI_10_114, AI_10_116, AI_11_117"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","discrepancy with the content of the practical training","AI_19_086"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of perspective on the content of the training","AI_11_132, AI_12_135"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of perspective on the content of the practical training","AI_16_039"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of reference to practical training content","AI_20_106, AI_20_108"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of pointing out of practical training content","AI_20_103"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Lack of reference to the content of the practical training","AI_04_017, AI_13_155"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of perspective on the attitude of the trainee","AI_13_159, AI_13_160"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","lack of perspective on practical training attitude","AI_13_152"
"Quality of the Japanese language","AI","negative","Insufficient output quality","breakdown of integrity as meaning","AI_07_053"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Mechanical tone","AI_16_042, AI_17_054"
"Quality of the Japanese language","AI","negative","Insufficient output quality","mechanical expressions","AI_18_083"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Mechanical language","AI_14_014"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Advice that lacks accuracy","AI_07_058"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Inappropriate advice","AI_10_113, AI_11_119, AI_15_018, AI_18_079, AI_18_084, AI_19_086, AI_19_094, AI_20_114, AI_23_158, AI_23_159"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Inappropriate encouragement","AI_07_066"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","advice that is not in line with the situation","AI_14_001"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Advice that does not take the situation into account","AI_06_042, AI_06_044, AI_08_079, AI_11_126, AI_11_129, AI_11_131, AI_12_138, AI_12_143, AI_13_153, AI_13_158, AI_13_162, AI_15_023, AI_18_070, AI_18_072, AI_18_081, AI_20_111"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Suggestions that do not take the situation into account","AI_22_137"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Advice that does not take the situation into account","AI_05_029"
"Continuity and consistency","AI","negative","Variability in feedback quality depending on the content recorded","Lack of feedback on the content of the experience itself","AI_10_111"
"Quality of the Japanese language","AI","negative","Insufficient output quality","inconsistency in the description","AI_14_002"
"Continuity and consistency","AI","negative","Limitations due to lack of understanding of the practicum context","Advice based only on the content of the record","AI_21_121, AI_21_124, AI_21_127, AI_21_128, AI_21_129, AI_21_130"
"Quality of the Japanese language","AI","negative","Insufficient output quality","Expressions that feel strange","AI_18_073, AI_18_075"
"Quality of the Japanese language","AI","negative","Insufficient output quality","incorrect points","AI_14_004"
"Quality of the Japanese language","AI","negative","Insufficient output quality","too high a tone","AI_13_162"
"Perspective as a clinician","supervisor","negative","Conflict of interest as an educator","Descriptions that are conscious of recruitment","SU_05_022"
"Continuity and consistency","supervisor","negative","Limitations of feedback within a limited time","reuse","SU_23_153"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","missing prioritisation","SU_12_136"
"Continuity and consistency","supervisor","negative","Limitations of feedback within a limited time","Overlooking medical errors","SU_11_120, SU_11_121"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","Descriptions that do not fit together","SU_18_074"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","non-conformance with standards","SU_09_088"
"Perspective as a clinician","supervisor","negative","Conflict of interest as an educator","Descriptions that are too focused on the interests of the expert","SU_10_110, SU_10_116"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","lack of suggestions for improvement","SU_16_037, SU_16_046, SU_18_078, SU_19_086"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","pointing out areas for improvement Missing","SU_04_002, SU_04_003, SU_04_013, SU_08_081, SU_08_082, SU_10_112, SU_11_124, SU_11_126, SU_12_138, SU_12_139, SU_13_149, SU_15_033, SU_16_035"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","lack of points for improvement","SU_13_159, SU_13_163, SU_14_001, SU_14_002, SU_14_003, SU_14_004, SU_14_014, SU_14_017, SU_15_021, SU_15_022, SU_15_023, SU_15_030, SU_16_047, SU_16_048, SU_21_122, SU_21_123, SU_21_126, SU_21_131, SU_22_133, SU_22_139, SU_22_142, SU_22_143, SU_22_146"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","Too many points for improvement","SU_07_058"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","lack of suggestions for improvement","SU_04_011"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","Lack of suggestions for improvement","SU_19_095"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","presentation of points for improvement Missing","SU_09_090"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","lack of suggestions for improvement","SU_19_099, SU_19_100"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","Lack of detail in the points for improvement","SU_16_040"
"Continuity and consistency","supervisor","negative","Limitations of feedback within a limited time","time constraints","SU_23_149, SU_23_151, SU_23_153"
"Perspective as a clinician","supervisor","negative","Conflict of interest as an educator","introduction of an authority gradient","SU_10_108"
"Text length","supervisor","negative","Insufficient amount of description","Short description","SU_04_001, SU_04_002, SU_04_010, SU_05_018, SU_05_026, SU_09_085"
"Text length","supervisor","negative","Insufficient amount of description","Too short a description","SU_13_162, SU_15_020"
"Text length","supervisor","negative","Insufficient amount of description","Descriptions that are too short","SU_05_020, SU_05_021, SU_05_031, SU_05_033, SU_09_094, SU_11_122, SU_11_131, SU_14_001, SU_14_002, SU_16_042, SU_16_044, SU_16_048, SU_21_128, SU_21_129"
"Text length","supervisor","negative","Insufficient amount of description","Concise description","SU_15_034"
"Continuity and consistency","supervisor","negative","Limitations of feedback within a limited time","Reuse of description","SU_23_164"
"Continuity and consistency","supervisor","negative","Feedback that does not reflect the content of the report","neglect of content","SU_04_001, SU_04_002, SU_04_010, SU_04_011, SU_04_014, SU_04_015, SU_05_019, SU_05_030, SU_06_049, SU_07_064, SU_07_068, SU_09_095, SU_09_097, SU_09_099, SU_12_143, SU_13_150, SU_13_160, SU_13_161, SU_13_164, SU_15_031, SU_17_054, SU_19_092, SU_19_095, SU_19_098, SU_20_101, SU_21_124"
"Continuity and consistency","supervisor","negative","Feedback that does not reflect the content of the report","missing points in the description","SU_13_152, SU_13_154, SU_13_158"
"Continuity and consistency","supervisor","negative","Feedback that does not reflect the content of the report","Lack of indication of points for description","SU_14_008, SU_15_021"
"Continuity and consistency","supervisor","negative","Feedback that does not reflect the content of the report","Lack of reference to the content of the description","SU_19_094, SU_19_097"
"Continuity and consistency","supervisor","negative","Feedback that does not reflect the content of the report","Disregard for the content of the description","SU_10_109, SU_10_115, SU_11_118, SU_11_119, SU_11_128"
"Continuity and consistency","supervisor","negative","Feedback that does not reflect the content of the report","Neglect of evaluation criteria","SU_22_137, SU_22_148"
"Adherence to the feedback criteria and structure","supervisor","negative","Entries not complying with feedback principles and standards","Non-compliance with evaluation criteria","SU_11_127"
"Text length","supervisor","negative","Insufficient amount of description"," lack of detail","SU_16_044, SU_16_045, SU_16_050"
